date,T8,T9,T10,T11,source_file
2025-08-15 19:44:52.688,26.608,26.664,26.827,26.699,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:53.689,26.604,26.661,26.825,26.695,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:54.690,26.602,26.657,26.823,26.692,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:55.690,26.599,26.656,26.819,26.69,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:56.690,26.596,26.652,26.816,26.687,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:57.691,26.593,26.649,26.813,26.684,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:58.691,26.59,26.646,26.809,26.681,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:44:59.692,26.587,26.642,26.806,26.678,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:00.692,26.582,26.64,26.803,26.676,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:01.692,26.579,26.637,26.8,26.672,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:02.692,26.577,26.634,26.796,26.668,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:03.693,26.575,26.632,26.793,26.665,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:04.693,26.571,26.629,26.789,26.663,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:05.694,26.567,26.627,26.786,26.659,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:06.694,26.566,26.624,26.784,26.658,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:07.694,26.563,26.623,26.782,26.655,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:08.695,26.561,26.62,26.78,26.65,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:09.695,26.558,26.618,26.778,26.648,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:10.696,26.556,26.617,26.775,26.645,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:11.696,26.554,26.613,26.772,26.643,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:12.697,26.551,26.61,26.77,26.641,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:13.697,26.548,26.608,26.765,26.638,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:45:14.698,26.546,26.605,26.76,26.635,uploaded:Log_192.168.77.10_2025_08_15.txt
